_id,name,address,category,noiseLevel,groupFriendly,hours,description,status,pos,createdBy,createdAt
171,Kare,3 Eastwood Trail,Cafe,Moderate,Group Friendly,11:00am - 5:00pm,Durable tarp for outdoor camping and protection.,,116.70345,171,6/16/2025
172,Shufflebeat,441 Burrows Plaza,Academic,Loud,Group Friendly,11:00am - 5:00pm,Tool to check car engine codes and performance issues.,,35.5630426,172,11/1/2025
173,Roodel,1 Holy Cross Alley,Library,Moderate,Group Friendly,8:00am - 6:00pm,Adjustable grinders for fresh spices at the table.,,20.0476701,173,4/23/2025
174,Avamba,6 Michigan Point,Academic,Quiet,Group Friendly,24 hour,Satisfy your sweet tooth with these dark chocolate-covered raisins.,,34.5795618,174,8/17/2025
175,Centizu,2068 Ronald Regan Place,Student Center,Loud,Not Group Friendly,11:00am - 5:00pm,Electric kettle that offers precise temperature settings.,,117.788836,175,6/19/2025
176,Brainbox,693 Hagan Lane,Library,Loud,Not Group Friendly,8:00am - 6:00pm,A rich curry paste for making authentic Thai green curry at home.,,171.281541,176,4/22/2025
177,Kimia,7036 Larry Plaza,Residence,Loud,Not Group Friendly,24 hour,Professional-grade nail care set for manicures and pedicures.,,-4.4706255,177,4/21/2025
178,Quire,6544 Mesta Pass,Student Center,Quiet,Not Group Friendly,24 hour,Soft and chewy bar packed with protein and cinnamon flavors.,,-58.410092,178,1/13/2026
179,Skiptube,9 Shoshone Pass,Cafe,Quiet,Group Friendly,11:00am - 5:00pm,Spicy salsa made with black beans and tomatoes.,,56.4943984,179,6/10/2025
180,Zooxo,6439 Becker Street,Student Center,Quiet,Group Friendly,11:00am - 5:00pm,Bright safety vest for outdoor visibility during any activity.,,110.400306,180,10/3/2025
181,Mynte,24 Petterle Road,Academic,Moderate,Not Group Friendly,24 hour,A pack of assorted nut and protein bars for a quick energy boost.,,-39.6930912,181,6/4/2025
182,JumpXS,6297 Lillian Circle,Cafe,Moderate,Group Friendly,8:00am - 6:00pm,Breathable polo shirt designed for both style and comfort on the greens.,,61.7005127,182,8/27/2025
183,Mynte,46550 Derek Street,Library,Quiet,Not Group Friendly,11:00am - 5:00pm,"Sweet and salty kettle corn, perfect for snacking.",,6.6518329,183,4/27/2025
184,Dynabox,335 Judy Avenue,Student Center,Moderate,Not Group Friendly,11:00am - 5:00pm,Durable baking sheet coated for easy food release.,,72.9003298,184,3/22/2025
185,Quimm,516 Amoth Place,Cafe,Quiet,Not Group Friendly,24 hour,Easily opens jar lids and bottle caps with one touch.,,106.454213,185,8/14/2025
186,Aimbu,250 Miller Lane,Student Center,Quiet,Not Group Friendly,11:00am - 5:00pm,"A trendy fanny pack, perfect for hands-free outings.",,56.0194244,186,6/18/2025
187,Kwilith,3 Forest Run Lane,Library,Quiet,Not Group Friendly,24 hour,Non-toxic traps for catching household pests safely.,,110.138102,187,8/17/2025
188,Meezzy,98 Rutledge Crossing,Student Center,Moderate,Group Friendly,8:00am - 6:00pm,Versatile canvas sneakers suitable for everyday wear with a comfortable fit.,,100.966512,188,6/21/2025
189,Realpoint,030 Mayer Hill,Academic,Loud,Group Friendly,24 hour,Lightweight and durable tent for camping trips.,,124.21667,189,3/23/2025
190,Izio,2733 Mcbride Way,Academic,Quiet,Group Friendly,24 hour,"Frozen pizza rolls stuffed with spinach and cheese, perfect for snacking.",,19.7935705,190,2/19/2026
191,Twitterbeat,63379 Nova Road,Academic,Quiet,Not Group Friendly,11:00am - 5:00pm,Rugged phone case for drop protection.,,-114.105279,191,3/7/2026
192,Browsezoom,25 Straubel Street,Residence,Loud,Not Group Friendly,24 hour,Space-saving crates for easy organization at home or while traveling.,,-7.5586322,192,5/5/2025
193,Browseblab,71 Jenifer Place,Student Center,Loud,Group Friendly,11:00am - 5:00pm,Thermos that tracks your water intake and temperature.,,30.9136062,193,12/5/2025
194,Leexo,8452 Mockingbird Alley,Cafe,Moderate,Group Friendly,8:00am - 6:00pm,Comprehensive first aid kit for home and travel.,,31.7171894,194,12/17/2025
195,Devbug,1 Reindahl Parkway,Residence,Moderate,Not Group Friendly,24 hour,Hanging bird feeder for backyard birds.,,1.4534246,195,5/15/2025
196,Abata,43689 Memorial Hill,Library,Moderate,Not Group Friendly,24 hour,"Sweet and salty popcorn with sea salt and caramel, a tasty treat.",,40.8422117,196,5/18/2025
197,Zava,55 Old Shore Terrace,Academic,Quiet,Group Friendly,8:00am - 6:00pm,"Instant oats with a savory twist, such as herbs and spices.",,-58.4114593,197,12/10/2025
198,Oloo,809 Sunnyside Plaza,Cafe,Loud,Group Friendly,8:00am - 6:00pm,Space-saving cup that folds flat for easy storage.,,-90.6132158,198,4/18/2025
199,Pixoboo,6 Valley Edge Avenue,Library,Loud,Not Group Friendly,11:00am - 5:00pm,Cold pasta salad tossed with pesto and fresh vegetables.,,120.5705167,199,6/14/2025
200,Twitterbridge,9464 Debra Avenue,Academic,Moderate,Not Group Friendly,11:00am - 5:00pm,Compact air compressor for inflating tires and sports equipment.,,20.9238397,200,9/28/2025
201,Dablist,177 Hagan Trail,Student Center,Loud,Not Group Friendly,24 hour,Creamy tahini made from ground sesame seeds.,,112.6079459,201,1/4/2026
202,Oba,09927 Spenser Crossing,Library,Loud,Group Friendly,8:00am - 6:00pm,Portable solar charger for outdoor adventures.,,-55.8638155,202,1/25/2026
203,Skimia,69 Artisan Avenue,Academic,Quiet,Not Group Friendly,11:00am - 5:00pm,Sleek wireless charging pad for smartphones.,,110.8095565,203,2/2/2026
204,Gigazoom,16 Westridge Pass,Student Center,Quiet,Group Friendly,8:00am - 6:00pm,"Assorted herbal teas, perfect for a warm and relaxing drink.",,126.276226,204,3/10/2026
205,Zoomcast,4001 Hauk Parkway,Student Center,Quiet,Group Friendly,11:00am - 5:00pm,Eco-friendly yoga mat made from sustainable materials.,,35.3736237,205,3/8/2026
206,Wikizz,2879 Anthes Way,Residence,Moderate,Group Friendly,24 hour,"Creamy yogurt made from almond milk, vegan-friendly.",,4.8398662,206,4/6/2025
207,Leexo,8591 Superior Pass,Academic,Moderate,Group Friendly,11:00am - 5:00pm,Cordless handheld vacuum for quick cleanups.,,-69.2497586,207,11/10/2025
208,Edgeify,0 Shoshone Junction,Student Center,Quiet,Not Group Friendly,8:00am - 6:00pm,Tool to check car engine codes and performance issues.,,18.2269255,208,4/15/2025
209,Cogilith,0071 Pond Point,Library,Loud,Group Friendly,11:00am - 5:00pm,64GB SD memory card for cameras and devices.,,104.6821048,209,8/15/2025
210,Dabshots,65714 Nancy Plaza,Residence,Quiet,Group Friendly,24 hour,"A delicious creamy dip featuring spinach and artichokes, perfect for parties.",,32.5037186,210,10/16/2025
211,Gabtune,4821 Novick Alley,Residence,Quiet,Group Friendly,11:00am - 5:00pm,"Green salsa with a spicy kick, great for dipping.",,22.3268117,211,1/13/2026
212,Vinder,9 Shoshone Drive,Library,Quiet,Group Friendly,8:00am - 6:00pm,"A mix of wild rice with herbs and spices, ready to serve.",,-8.0276048,212,9/10/2025
213,Katz,3 Reindahl Junction,Academic,Quiet,Not Group Friendly,11:00am - 5:00pm,Citrusy lemons perfect for drinks and cooking.,,120.3089541,213,7/21/2025
214,Edgeclub,162 Nobel Parkway,Student Center,Loud,Group Friendly,24 hour,Gourmet potato skins loaded with cheddar cheese and bacon.,,22.2004824,214,8/2/2025
215,Voomm,43 Scofield Plaza,Cafe,Loud,Not Group Friendly,11:00am - 5:00pm,A sweet and tangy vinaigrette dressing for salads.,,29.8694229,215,1/2/2026
216,Voonyx,027 Memorial Junction,Academic,Quiet,Not Group Friendly,24 hour,Eco-friendly bamboo holder for toothbrushes.,,-76.214046,216,4/4/2025
217,Linktype,52628 Colorado Street,Residence,Moderate,Group Friendly,8:00am - 6:00pm,Bottle that allows you to infuse your water with fruits.,,-79.6923047,217,2/20/2026
218,Jabberbean,3 Stephen Terrace,Residence,Moderate,Not Group Friendly,24 hour,Soft and strong toilet paper for everyday use.,,116.83333,218,8/1/2025
219,Fatz,811 Butternut Place,Library,Quiet,Group Friendly,8:00am - 6:00pm,Healthier way to make popcorn in the microwave without oil.,,111.4559084,219,10/27/2025
220,Youspan,94 South Place,Residence,Loud,Group Friendly,24 hour,"Green salsa with a spicy kick, great for dipping.",,13.4095386,220,9/24/2025
221,Twitterbridge,9 Rockefeller Place,Cafe,Quiet,Group Friendly,11:00am - 5:00pm,Frozen mix of colorful stir-fry veggies.,,80.780153,221,6/6/2025
222,Zoonoodle,5441 School Plaza,Academic,Moderate,Not Group Friendly,24 hour,"Crunchy granola with oats, almonds, and dried cranberries.",,0.3350126,222,2/4/2026
223,Cogidoo,638 Londonderry Junction,Academic,Quiet,Not Group Friendly,11:00am - 5:00pm,Herbal tea bags made from dried hibiscus flowers.,,18.4660353,223,8/12/2025
224,Flashpoint,98584 Mifflin Trail,Academic,Quiet,Not Group Friendly,24 hour,Corn on the cob seasoned with chili and lime for a spicy kick.,,39.6285874,224,12/20/2025
225,Dabshots,0574 5th Terrace,Library,Moderate,Group Friendly,11:00am - 5:00pm,Variety pack of sticky notes in different colors and sizes.,,22.4712129,225,10/23/2025
226,Wordware,290 Veith Avenue,Residence,Quiet,Not Group Friendly,24 hour,Memory foam travel pillow for neck support.,,1.1518478,226,11/25/2025
227,Linklinks,76932 Rigney Street,Library,Quiet,Not Group Friendly,8:00am - 6:00pm,"Lightly salted rice cakes, perfect for a healthy snack.",,14.9534182,227,6/11/2025
228,Oyonder,93 Melody Alley,Cafe,Quiet,Group Friendly,24 hour,Compact wireless printer for home use.,,-4.1974627,228,7/6/2025
229,Topicblab,13096 Cascade Crossing,Student Center,Quiet,Not Group Friendly,11:00am - 5:00pm,Charming frame to showcase your favorite photos.,,73.7008274,229,9/27/2025
230,Tagchat,3410 Evergreen Court,Student Center,Quiet,Group Friendly,8:00am - 6:00pm,Beautifully crafted jewelry box with compartments for storage.,,-40.37156,230,2/8/2026
231,Mynte,98933 Muir Center,Academic,Loud,Group Friendly,24 hour,Set of decorative pillow covers to enhance your home decor.,,116.430668,231,4/30/2025
232,Vidoo,062 Farmco Trail,Academic,Quiet,Group Friendly,8:00am - 6:00pm,Portable mixer bottle for smoothies and protein shakes.,,37.545315,232,6/24/2025
233,Wordify,41783 Orin Lane,Student Center,Quiet,Group Friendly,24 hour,"Crispy mini pretzels, a great snack any time of day.",,36.7738708,233,5/31/2025
234,Avaveo,87 Helena Park,Residence,Moderate,Group Friendly,8:00am - 6:00pm,Comfortable camping mattress that inflates automatically.,,114.057865,234,8/5/2025
235,Eamia,203 Erie Pass,Library,Quiet,Group Friendly,24 hour,Stylish faux leather leggings for a trendy outfit.,,64.4318916,235,11/18/2025
236,Zooxo,5319 Shelley Junction,Student Center,Moderate,Not Group Friendly,24 hour,Stream music from your device to any speaker wirelessly.,,41.4462559,236,7/4/2025
237,Kare,1571 Linden Terrace,Library,Loud,Not Group Friendly,8:00am - 6:00pm,"Gluten-free flour made from ground chickpeas, great for cooking.",,18.6264694,237,3/9/2026
238,Edgewire,044 Mariners Cove Pass,Academic,Moderate,Group Friendly,24 hour,64GB SD memory card for cameras and devices.,,112.1012912,238,7/9/2025
239,Yoveo,88 Muir Road,Residence,Quiet,Group Friendly,11:00am - 5:00pm,Complete kit for starting your own organic garden.,,44.4970268,239,9/26/2025
240,Edgeify,18382 Surrey Alley,Library,Quiet,Not Group Friendly,11:00am - 5:00pm,"Ready-to-eat avocado slices, perfect for tacos.",,33.9293828,240,2/18/2026
241,Bluejam,89 Chinook Terrace,Library,Loud,Not Group Friendly,11:00am - 5:00pm,Large inflatable pool for summer fun in your backyard.,,38.428733,241,3/12/2026
242,Eazzy,78 Browning Trail,Student Center,Quiet,Not Group Friendly,8:00am - 6:00pm,Natural elderberry syrup to boost immunity.,,120.434071,242,8/14/2025
243,Flashpoint,2 Barnett Junction,Academic,Moderate,Group Friendly,8:00am - 6:00pm,Add a smoky flavor to your dishes.,,-46.9442412,243,12/10/2025
244,Lazzy,62 Bultman Trail,Cafe,Loud,Not Group Friendly,24 hour,"Crunchy granola with toasted coconut flakes, perfect for breakfast or snacks.",,121.0075554,244,10/19/2025
245,Youbridge,17 Norway Maple Way,Cafe,Moderate,Not Group Friendly,8:00am - 6:00pm,Educational tablet designed for preschool-age children.,,110.632006,245,3/12/2026
246,Twimm,98781 Westport Alley,Cafe,Quiet,Group Friendly,11:00am - 5:00pm,Lint roller designed specifically for removing pet hair from furniture.,,31.6349344,246,8/26/2025
247,Feedfish,29 American Ash Crossing,Library,Loud,Group Friendly,24 hour,Vacuum-insulated tumbler for beverages on the go.,,109.228143,247,11/26/2025
248,Divanoodle,285 Lukken Lane,Student Center,Moderate,Not Group Friendly,8:00am - 6:00pm,Savory sausage links seasoned with Italian spices.,,6.7329389,248,11/10/2025
249,Wikizz,9 Mockingbird Crossing,Academic,Quiet,Group Friendly,8:00am - 6:00pm,"Unsweetened apple sauce, great for snacks or baking.",,41.9381568,249,5/6/2025
250,Gabspot,7 Forster Parkway,Cafe,Quiet,Group Friendly,24 hour,Classic marshmallow treats made with crispy rice.,,49.1727178,250,4/22/2025
251,Mycat,95992 Sherman Crossing,Cafe,Quiet,Group Friendly,11:00am - 5:00pm,Stylish smartwatch with fitness tracking features.,,-95.9991228,251,3/18/2026
252,Tagpad,41416 Reinke Park,Library,Quiet,Not Group Friendly,24 hour,"Sweet and tart dried cranberries, great for salads and baking.",,116.6878891,252,8/16/2025
253,Fatz,1052 Barby Avenue,Residence,Quiet,Group Friendly,24 hour,Qi-certified charger for fast wireless charging of smartphones.,,124.3337947,253,4/9/2025
254,Rooxo,76 Mandrake Center,Academic,Loud,Group Friendly,11:00am - 5:00pm,Set of decorative ceramic planters for indoor plants.,,-2.5098914,254,3/3/2026
255,Abata,37 Corscot Junction,Residence,Moderate,Group Friendly,11:00am - 5:00pm,Educational robotics kit for building and programming.,,106.4081983,255,6/20/2025
256,Dabshots,11 Village Plaza,Academic,Moderate,Group Friendly,24 hour,Compact wireless printer for home use.,,111.3245,256,9/1/2025
257,Quamba,88 Ridgeway Hill,Library,Loud,Not Group Friendly,11:00am - 5:00pm,Easy-to-use tiebacks for curtains or drapes.,,81.9305699,257,9/1/2025
258,Topicware,01282 Autumn Leaf Drive,Student Center,Moderate,Not Group Friendly,8:00am - 6:00pm,Soft corner protectors to keep babies safe at home.,,18.942743,258,2/2/2026
259,Voonyx,33039 Sunfield Trail,Residence,Loud,Not Group Friendly,24 hour,Modern lamp featuring a USB port for convenient charging.,,75.9840587,259,6/9/2025
260,Edgeclub,8 Harbort Drive,Cafe,Quiet,Not Group Friendly,8:00am - 6:00pm,DIY LED strip lights with remote control.,,13.35118,260,5/24/2025
261,Yodel,34712 Crowley Park,Library,Loud,Group Friendly,11:00am - 5:00pm,Tool to check car engine codes and performance issues.,,73.6386612,261,6/17/2025
262,Yotz,63796 Marquette Plaza,Student Center,Loud,Group Friendly,24 hour,Premium potting soil for indoor plants.,,106.8377497,262,1/20/2026
263,Skilith,46 Old Gate Park,Cafe,Loud,Not Group Friendly,24 hour,Complete watercolor set with paints and brushes.,,107.8632023,263,3/2/2026
264,Yodo,310 Gina Lane,Cafe,Loud,Not Group Friendly,8:00am - 6:00pm,Portable case to organize and protect jewelry on trips.,,42.344717,264,4/22/2025
265,Pixope,6272 Becker Way,Student Center,Loud,Not Group Friendly,24 hour,"Thin and crispy flatbreads, perfect for dips.",,-73.5425659,265,3/21/2025
266,Babbleset,388 Commercial Pass,Cafe,Moderate,Not Group Friendly,8:00am - 6:00pm,Flavorful sauce perfect for stir-frying vegetables and tofu.,,15.290983,266,4/18/2025
267,Quinu,57800 Sloan Center,Residence,Loud,Not Group Friendly,8:00am - 6:00pm,High-quality voice recorder for lectures and meetings.,,106.6717451,267,2/12/2026
268,Skaboo,186 Lillian Hill,Library,Quiet,Group Friendly,11:00am - 5:00pm,Rechargeable massage gun for relieving muscle soreness.,,15.5089055,268,9/1/2025
269,Fatz,6429 Kennedy Hill,Academic,Quiet,Not Group Friendly,24 hour,Eco-friendly bamboo cutting board for food prep.,,119.436,269,4/17/2025
270,Jaxbean,541 Spohn Trail,Academic,Moderate,Group Friendly,8:00am - 6:00pm,"Creamy and smooth peanut butter, perfect for sandwiches.",,-104.8367063,270,5/1/2025
271,Zoozzy,82271 Maple Wood Crossing,Residence,Quiet,Group Friendly,8:00am - 6:00pm,Large electric griddle for family meals.,,-8.216481,271,1/7/2026
272,Leexo,7 Holmberg Place,Residence,Loud,Not Group Friendly,24 hour,"Fresh organic sweet potatoes, great for roasting or mashing.",,16.4207632,272,10/28/2025
273,Zoomzone,4884 Laurel Place,Academic,Moderate,Group Friendly,24 hour,Compact and stylish indoor/outdoor fire pit for ambiance.,,19.833467,273,3/19/2026
274,Skaboo,235 Jenifer Alley,Academic,Loud,Group Friendly,11:00am - 5:00pm,Bright LED flashlight with adjustable beam.,,104.373372,274,10/13/2025
275,Flipstorm,9 Stuart Road,Library,Moderate,Not Group Friendly,8:00am - 6:00pm,Energy-efficient lights that charge during the day and illuminate at night.,,4.8925949,275,8/10/2025
276,Oloo,109 Cambridge Place,Cafe,Moderate,Group Friendly,8:00am - 6:00pm,Heavy-duty rake with adjustable width for different gardening needs.,,-7.4517472,276,1/6/2026
277,Topicware,20 Express Drive,Student Center,Quiet,Not Group Friendly,24 hour,Complete cleaning kit for camera lenses.,,38.0990815,277,9/23/2025
278,Dabjam,35424 Corry Place,Library,Loud,Not Group Friendly,24 hour,Tangy salsa made from tomatillos and peppers.,,16.7700322,278,2/26/2026
279,Npath,6 Sheridan Point,Academic,Quiet,Group Friendly,11:00am - 5:00pm,"Homemade jam made with blueberries and chia seeds, no added sugar.",,132.3446399,279,3/22/2025
280,Yodoo,49794 Morrow Trail,Academic,Loud,Not Group Friendly,8:00am - 6:00pm,Corn on the cob seasoned with chili and lime for a spicy kick.,,118.180193,280,7/30/2025
281,Katz,5547 Everett Place,Library,Loud,Not Group Friendly,24 hour,All-in-one kit for making delicious chicken salad.,,111.9856,281,7/15/2025
282,Wikido,50 Anthes Drive,Academic,Loud,Not Group Friendly,24 hour,Short-grain sushi rice for perfect rolls.,,107.4492746,282,12/11/2025
283,Podcat,27 Bultman Pass,Academic,Moderate,Not Group Friendly,8:00am - 6:00pm,"Crispy and juicy chicken tenders, perfect for dipping.",,113.7513827,283,5/15/2025
284,Eayo,0 Warner Crossing,Residence,Quiet,Not Group Friendly,24 hour,"Crunchy pretzels coated in rich chocolate, a sweet treat.",,-73.762495,284,4/8/2025
285,Voonte,45328 Vera Circle,Residence,Moderate,Not Group Friendly,11:00am - 5:00pm,"A sweet and tangy dressing made with figs and balsamic vinegar, great on salads.",,22.7279233,285,11/4/2025
286,Yotz,34 Butterfield Crossing,Library,Loud,Not Group Friendly,11:00am - 5:00pm,Frozen smoothie blend with berries for a quick and healthy breakfast.,,111.945844,286,12/18/2025
287,Jaloo,33974 Clyde Gallagher Alley,Cafe,Moderate,Not Group Friendly,11:00am - 5:00pm,"Fresh and zesty salsa, perfect for nachos.",,-8.270224,287,2/4/2026
288,Skyndu,9865 Duke Drive,Residence,Moderate,Group Friendly,11:00am - 5:00pm,A nutritious shake with rich chocolate and refreshing mint flavors.,,-49.6555394,288,1/31/2026
289,Shuffledrive,73334 Norway Maple Alley,Student Center,Quiet,Group Friendly,11:00am - 5:00pm,"Delicious and fully cooked sliced ham, ready to eat.",,103.9655476,289,1/24/2026
290,Quatz,7622 Morning Terrace,Library,Loud,Group Friendly,8:00am - 6:00pm,Vacuum-insulated tumbler for beverages on the go.,,112.1758089,290,8/3/2025
291,Lazz,1972 Lakewood Gardens Park,Library,Quiet,Not Group Friendly,24 hour,"Frozen pizza rolls filled with vegetables and cheese, perfect for snacks.",,-37.9148742,291,9/4/2025
292,Photobean,2 Steensland Alley,Residence,Quiet,Group Friendly,8:00am - 6:00pm,Fresh sushi rolls filled with a variety of vegetables.,,-89.7473837,292,2/3/2026
293,Oozz,860 Roxbury Alley,Residence,Quiet,Not Group Friendly,24 hour,Creamy chickpea dip blended with tahini and garlic.,,-79.1604971,293,1/19/2026
294,Fatz,2 Manufacturers Crossing,Residence,Loud,Not Group Friendly,8:00am - 6:00pm,Retro arcade machine for classic gaming.,,117.087268,294,7/10/2025
295,Mymm,4 South Place,Library,Loud,Group Friendly,24 hour,Sweet and tangy mango chutney for a flavorful dip.,,121.9757838,295,4/30/2025
296,Quimba,5046 Chive Center,Academic,Moderate,Group Friendly,24 hour,Sweet and nutty filling for delicious homemade pecan pie.,,-78.4325615,296,1/12/2026
297,Flashspan,7085 Hollow Ridge Place,Residence,Quiet,Group Friendly,8:00am - 6:00pm,Delicate green tea leaves for a refreshing beverage.,,30.69633,297,10/3/2025
298,Feedspan,1834 Bowman Avenue,Student Center,Moderate,Not Group Friendly,11:00am - 5:00pm,Lightweight and moisture-wicking racerback tank for workouts.,,112.833836,298,7/21/2025
299,Blognation,147 Hoffman Alley,Student Center,Moderate,Group Friendly,8:00am - 6:00pm,Classic ranch dressing for salads and dipping.,,-84.3680059,299,9/13/2025
300,Gabtune,786 Spaight Street,Residence,Quiet,Not Group Friendly,8:00am - 6:00pm,Smooth Greek yogurt infused with vanilla bean flavor.,,121.498915,300,4/17/2025
301,Jabberstorm,64033 Eliot Trail,Library,Quiet,Group Friendly,11:00am - 5:00pm,Ready-to-eat chicken bowl with teriyaki sauce and rice.,,113.39277,301,11/18/2025
302,Wikizz,9247 Birchwood Street,Academic,Quiet,Not Group Friendly,11:00am - 5:00pm,Eco-friendly soy candles with a variety of scents.,,99.999936,302,1/1/2026
303,Zoomlounge,487 Hoard Point,Library,Moderate,Not Group Friendly,24 hour,Tangy salsa made from tomatillos and peppers.,,37.3693679,303,1/21/2026
304,Pixoboo,85017 Forest Alley,Residence,Loud,Not Group Friendly,8:00am - 6:00pm,Frozen mango chunks for smoothies or snacking.,,26.9828477,304,10/1/2025
305,Photojam,3 Manufacturers Park,Cafe,Quiet,Not Group Friendly,11:00am - 5:00pm,"Delicious vegetable dumplings, perfect for steaming or frying.",,-35.958777,305,2/10/2026
306,Topicware,0350 Lien Pass,Student Center,Moderate,Not Group Friendly,11:00am - 5:00pm,Personal massager for muscle recovery.,,13.7655233,306,8/11/2025
307,Divavu,52831 Dexter Plaza,Library,Quiet,Not Group Friendly,8:00am - 6:00pm,Durable jump rope with built-in counter for workouts.,,105.019512,307,1/4/2026
308,Aibox,4 Blackbird Avenue,Library,Quiet,Not Group Friendly,24 hour,Crispy almonds coated with cinnamon and sugar for a sweet and crunchy snack.,,107.237743,308,2/23/2026
309,Oodoo,53481 Mendota Hill,Academic,Moderate,Group Friendly,24 hour,Yoga socks designed to provide better grip and stability.,,106.5701927,309,12/24/2025
310,Browsecat,1691 3rd Trail,Residence,Loud,Group Friendly,8:00am - 6:00pm,Compact projector for movies and presentations on the go.,,15.0728705,310,3/14/2026
311,Skajo,6 Lillian Street,Library,Loud,Group Friendly,8:00am - 6:00pm,Nutritious snack bar made with almond butter and protein.,,-78.4524591,311,5/23/2025
312,Rhycero,98 Nova Alley,Library,Loud,Group Friendly,11:00am - 5:00pm,Quick meal kit with pasta and fresh vegetables.,,139.7492367,312,3/20/2025
313,Quinu,1712 Ronald Regan Pass,Residence,Moderate,Group Friendly,24 hour,Monthly subscription for freshly roasted coffee delivered to your door.,,128.2323169,313,7/8/2025
314,Meeveo,17507 Namekagon Court,Residence,Quiet,Group Friendly,8:00am - 6:00pm,Durable and shatterproof silicone glasses for outdoor use.,,35.20329,314,12/28/2025
315,Mybuzz,4887 Sage Center,Library,Loud,Group Friendly,11:00am - 5:00pm,A colorful variety of crunchy veggie chips for snacking.,,100.4227992,315,5/31/2025
316,Oozz,0964 Northwestern Trail,Cafe,Moderate,Not Group Friendly,24 hour,High-carbon stainless steel chef knife for precision cutting.,,2.2936854,316,10/17/2025
317,Browsedrive,665 Delaware Hill,Library,Moderate,Not Group Friendly,8:00am - 6:00pm,"Roasted pistachios, a healthy and tasty snack.",,16.136353,317,7/31/2025
318,Kwilith,00016 Pankratz Place,Cafe,Quiet,Group Friendly,8:00am - 6:00pm,Lightweight and portable folding table for camping or picnics.,,116.872657,318,1/23/2026
319,Browsezoom,09 Rieder Terrace,Academic,Quiet,Group Friendly,8:00am - 6:00pm,Durable backpack for hiking or travel.,,15.0265478,319,4/27/2025
320,Dabvine,74 Onsgard Hill,Library,Quiet,Not Group Friendly,8:00am - 6:00pm,Notepad made from recycled paper for sustainable note-taking.,,100.646607,320,1/28/2026
321,Chatterbridge,9780 Main Hill,Residence,Loud,Not Group Friendly,11:00am - 5:00pm,A seasonal creamer that adds pumpkin spice flavor to coffee or tea.,,108.490475,321,12/21/2025
322,Fadeo,69733 Lukken Terrace,Cafe,Loud,Group Friendly,11:00am - 5:00pm,A blend of dried herbs commonly used in Italian cooking.,,48.9757225,322,8/7/2025
323,Jabbercube,90106 Killdeer Court,Cafe,Moderate,Group Friendly,24 hour,"Lightly salted rice cakes, perfect for a healthy snack.",,118.71899,323,11/18/2025
324,Dynazzy,239 Reinke Drive,Residence,Loud,Group Friendly,11:00am - 5:00pm,Wax warmer for creating a soothing atmosphere with fragrances.,,121.5045889,324,12/2/2025
325,Twimm,74916 Arkansas Park,Academic,Loud,Group Friendly,24 hour,"Shrimp marinated in a honey garlic sauce, ready to cook.",,-65.3688335,325,4/2/2025
326,Dynabox,80 Golf Course Crossing,Student Center,Quiet,Not Group Friendly,24 hour,Heavy-duty rake with adjustable width for different gardening needs.,,21.631951,326,2/2/2026
327,Youspan,74319 Boyd Pass,Residence,Quiet,Group Friendly,24 hour,Easy-to-make pancake mix with pumpkin spice flavor.,,-48.5755491,327,1/2/2026
328,Janyx,05 Gerald Parkway,Student Center,Quiet,Not Group Friendly,8:00am - 6:00pm,Scented bath salts for relaxation and self-care.,,115.1746415,328,10/20/2025
329,Kaymbo,4839 Londonderry Alley,Library,Moderate,Not Group Friendly,8:00am - 6:00pm,Leak-proof bottles for travel-sized toiletries.,,106.22868,329,6/10/2025
330,Babbleopia,3 Eggendart Lane,Residence,Quiet,Group Friendly,24 hour,Set of decorative cushion covers for home decor.,,117.323725,330,8/17/2025
331,Bubblemix,6630 Prentice Crossing,Residence,Moderate,Group Friendly,24 hour,Spicy salsa made with fresh ingredients.,,16.1834327,331,12/28/2025
332,Gigashots,20530 Karstens Hill,Student Center,Quiet,Not Group Friendly,24 hour,Automatic churner for making butter at home.,,38.4955043,332,2/17/2026
333,Rhynyx,9 Sycamore Way,Student Center,Moderate,Group Friendly,24 hour,"Nutritious chia seed pudding in vanilla flavor, ready to eat.",,120.277138,333,11/7/2025
334,Edgepulse,699 Ridgeview Pass,Cafe,Moderate,Not Group Friendly,8:00am - 6:00pm,Snooze function and LED display for easy reading.,,14.4432179,334,8/28/2025
335,Jaxspan,54818 Drewry Park,Library,Loud,Not Group Friendly,24 hour,Convenient hooks that utilize door space for hanging items.,,-74.828718,335,8/30/2025
336,Wikizz,1 Granby Pass,Cafe,Moderate,Not Group Friendly,8:00am - 6:00pm,Blender for smoothies with a portable cup.,,124.8420794,336,1/6/2026
337,Fatz,9356 Summerview Road,Cafe,Moderate,Group Friendly,24 hour,3D model puzzle kit for creative builders.,,129.9118965,337,10/14/2025
338,Rhyloo,623 Northland Way,Cafe,Loud,Group Friendly,11:00am - 5:00pm,"A hearty soup filled with vegetables and herbs, perfect for a light meal.",,66.32376,338,8/20/2025
339,Trilith,28152 Dixon Park,Library,Moderate,Group Friendly,11:00am - 5:00pm,Large stir fry pan with non-stick surface.,,-8.4860645,339,9/17/2025
340,Tavu,91064 Transport Way,Library,Quiet,Group Friendly,11:00am - 5:00pm,All-in-one kit for growing herbs in your kitchen.,,112.505924,340,1/11/2026
